5.000000e-13	3.180984	0.422178	3.172321	32	111	
1.000000e-12	8.172241	1.755633	8.162500	32	111	
1.500000e-12	12.362610	5.168734	12.342411	32	111	
2.000000e-12	16.415235	15.093314	16.433482	32	111	
2.500000e-12	20.401057	78.242888	20.401786	32	111	
3.000000e-12	24.078265	95.731719	24.035268	32	111	
3.500000e-12	27.071789	97.966247	27.087500	32	111	
4.000000e-12	30.270016	99.020028	30.203125	32	111	
4.500000e-12	33.458096	99.429983	33.441964	32	111	
5.000000e-12	37.024576	99.849745	37.139286	32	111	
